# source_repo,m1geo/Pi5_PCIe
# source_url,https://github.com/m1geo/Pi5_PCIe
# source_pcb,data/kicad_public/Pi5_PCIe/Pi5_PCIe.kicad_pcb
# gerber_dir,
# selected_footprint,10018783-11200TLF:AMPHENOL_10018783-11200TLF
name,eda_pi5_pcie_breakout
pins,36
width_mm,147.26
tail_height_mm,34.0
pin_pitch_mm,2.0
pin_positions,1:4.000:0.000;2:4.000:0.000;3:4.000:0.000;4:4.000:0.000;5:4.000:0.000;6:4.000:0.000;7:4.000:0.000;8:4.000:0.000;9:4.000:0.000;10:46.850:0.000;11:46.850:0.000;12:46.850:0.000;13:46.850:0.000;14:46.850:0.000;15:46.850:0.000;16:46.850:0.000;17:46.850:0.000;18:46.850:0.000;19:100.414:0.000;20:100.414:0.000;21:100.414:0.000;22:100.414:0.000;23:100.414:0.000;24:100.414:0.000;25:100.414:0.000;26:100.414:0.000;27:100.414:0.000;28:143.264:0.000;29:143.264:0.000;30:143.264:0.000;31:143.264:0.000;32:143.264:0.000;33:143.264:0.000;34:143.264:0.000;35:143.264:0.000;36:143.264:0.000
grid_mm,1.0
min_testpoint_spacing_mm,2.0
line_spacing_mm,0.5
max_iterations,100
obstacles,134.3:23.1:139.9:26.7;130.6:28.1:136.2:31.7;118.7:25.3:124.3:28.9;116.4:25.3:122.0:28.9
