# source_repo,m1geo/Pi5_PCIe
# source_url,https://github.com/m1geo/Pi5_PCIe
# source_pcb,data/kicad_public/Pi5_PCIe/Pi5_M2_Hat.kicad_pcb
# gerber_dir,
# selected_footprint,ngff:AMPHENOL_MDT420M03001
name,eda_pi5_m2_hat
pins,69
width_mm,136.42
tail_height_mm,35.04
pin_pitch_mm,2.54
pin_positions,1:4.000:0.000;2:4.000:0.000;3:4.000:0.000;4:4.000:0.000;5:4.000:0.000;6:4.000:0.000;7:4.000:0.000;8:4.000:0.000;9:4.000:0.000;10:4.000:0.000;11:4.000:0.000;12:4.000:0.000;13:4.000:0.000;14:4.000:0.000;15:4.000:0.000;16:4.000:0.000;17:4.000:0.000;18:4.000:0.000;19:4.000:0.000;20:4.000:0.000;21:4.000:0.000;22:4.000:0.000;23:4.000:0.000;24:4.000:0.000;25:4.000:0.000;26:4.000:0.000;27:4.000:0.000;28:4.000:0.000;29:4.000:0.000;30:4.000:0.000;31:4.000:0.000;32:4.000:0.000;33:4.000:0.000;34:119.233:0.000;35:119.233:0.000;36:132.415:0.000;37:132.415:0.000;38:132.415:0.000;39:132.415:0.000;40:132.415:0.000;41:132.415:0.000;42:132.415:0.000;43:132.415:0.000;44:132.415:0.000;45:132.415:0.000;46:132.415:0.000;47:132.415:0.000;48:132.415:0.000;49:132.415:0.000;50:132.415:0.000;51:132.415:0.000;52:132.415:0.000;53:132.415:0.000;54:132.415:0.000;55:132.415:0.000;56:132.415:0.000;57:132.415:0.000;58:132.415:0.000;59:132.415:0.000;60:132.415:0.000;61:132.415:0.000;62:132.415:0.000;63:132.415:0.000;64:132.415:0.000;65:132.415:0.000;66:132.415:0.000;67:132.415:0.000;68:132.415:0.000;69:132.415:0.000
grid_mm,1.0
min_testpoint_spacing_mm,2.0
line_spacing_mm,0.5
max_iterations,100
obstacles,105.1:26.2:110.7:29.8;90.8:22.0:96.4:25.6;87.5:27.1:93.1:30.7;107.8:21.8:113.4:25.4
