# source_repo,serg987/coral-dual-m2-adapter-pcb
# source_url,https://github.com/serg987/coral-dual-m2-adapter-pcb
# source_pcb,data/kicad_public/coral-dual-m2-adapter-pcb/kicad_project/m2_coral_dual_adapter/m2_coral_dual_adapter.kicad_pcb
# gerber_dir,
# selected_footprint,nvme_ae_to_m:Conn_TE-M.2-0.5-67P-doublesided_TypeE
name,eda_coral_dual_m2_adapter
pins,68
width_mm,136.27
tail_height_mm,34.88
pin_pitch_mm,2.54
pin_positions,1:4.000:0.000;2:4.000:0.000;3:4.000:0.000;4:4.000:0.000;5:4.000:0.000;6:4.000:0.000;7:4.000:0.000;8:4.000:0.000;9:4.000:0.000;10:4.000:0.000;11:4.000:0.000;12:4.000:0.000;13:4.000:0.000;14:4.000:0.000;15:4.000:0.000;16:4.000:0.000;17:4.000:0.000;18:4.000:0.000;19:4.000:0.000;20:4.000:0.000;21:4.000:0.000;22:4.000:0.000;23:4.000:0.000;24:4.000:0.000;25:4.000:0.000;26:4.000:0.000;27:4.000:0.000;28:4.000:0.000;29:4.000:0.000;30:4.000:0.000;31:4.000:0.000;32:4.000:0.000;33:4.000:0.000;34:4.000:0.000;35:17.167:0.000;36:132.275:0.000;37:132.275:0.000;38:132.275:0.000;39:132.275:0.000;40:132.275:0.000;41:132.275:0.000;42:132.275:0.000;43:132.275:0.000;44:132.275:0.000;45:132.275:0.000;46:132.275:0.000;47:132.275:0.000;48:132.275:0.000;49:132.275:0.000;50:132.275:0.000;51:132.275:0.000;52:132.275:0.000;53:132.275:0.000;54:132.275:0.000;55:132.275:0.000;56:132.275:0.000;57:132.275:0.000;58:132.275:0.000;59:132.275:0.000;60:132.275:0.000;61:132.275:0.000;62:132.275:0.000;63:132.275:0.000;64:132.275:0.000;65:132.275:0.000;66:132.275:0.000;67:132.275:0.000;68:132.275:0.000
grid_mm,1.0
min_testpoint_spacing_mm,2.0
line_spacing_mm,0.5
max_iterations,100
obstacles,124.0:28.4:129.6:32.0;101.4:25.1:107.0:28.7;105.6:26.8:111.2:30.4;72.1:25.6:77.7:29.2
