pin_id,x_mm,y_mm
1,16,7
2,18,7
3,19,9
4,14,7
5,20,7
6,21,9
7,22,7
8,22,11
9,23,9
10,24,7
11,25,9
12,25,11
13,26,7
14,27,9
15,28,7
16,28,11
17,29,9
18,30,7
19,31,9
20,31,11
21,32,7
22,33,9
23,34,7
24,34,11
25,35,9
26,36,7
27,37,9
28,37,11
29,38,7
30,39,9
31,39,11
32,40,7
33,41,9
34,42,7
35,43,9
36,43,11
37,44,7
38,45,9
39,45,11
40,46,7
41,47,9
42,48,7
43,49,9
44,49,11
45,50,7
46,51,9
47,51,11
48,52,7
49,53,9
50,54,7
51,55,9
52,55,11
53,56,7
54,57,9
55,58,7
56,58,11
57,59,9
58,60,7
59,61,9
60,61,11
61,62,7
62,63,9
63,64,7
64,64,11
65,65,9
66,66,7
67,67,9
68,67,11
69,68,7
70,69,9
71,70,7
72,70,11
73,71,9
74,72,7
75,73,9
76,73,11
77,74,7
78,75,9
79,75,11
80,76,7
81,77,9
82,78,7
83,79,9
84,79,11
85,80,7
86,81,9
87,81,11
88,82,7
89,83,9
90,84,7
91,85,9
92,85,11
93,86,7
94,90,7
95,88,9
96,88,7
