pin_id,success,length_mm,path
1,1,11.00,4.0:0.0 4.0:1.0 4.0:2.0 4.0:3.0 4.0:4.0 4.0:5.0 4.0:6.0 4.0:7.0 4.0:8.0 4.0:9.0 4.0:10.0 4.0:11.0
2,1,13.00,4.0:0.0 3.0:0.0 2.0:0.0 2.0:1.0 2.0:2.0 2.0:3.0 2.0:4.0 2.0:5.0 2.0:6.0 2.0:7.0 2.0:8.0 2.0:9.0 3.0:9.0 4.0:9.0
3,1,11.00,4.0:0.0 4.0:1.0 5.0:1.0 5.0:2.0 5.0:3.0 5.0:4.0 6.0:4.0 6.0:5.0 6.0:6.0 7.0:6.0 7.0:7.0 8.0:7.0
4,1,15.00,4.0:0.0 5.0:0.0 5.0:1.0 6.0:1.0 7.0:1.0 7.0:2.0 8.0:2.0 9.0:2.0 10.0:2.0 10.0:3.0 10.0:4.0 10.0:5.0 10.0:6.0 11.0:6.0 12.0:6.0 12.0:7.0
5,1,13.00,4.0:0.0 3.0:0.0 3.0:1.0 3.0:2.0 3.0:3.0 3.0:4.0 3.0:5.0 3.0:6.0 3.0:7.0 3.0:8.0 3.0:9.0 4.0:9.0 5.0:9.0 6.0:9.0
6,1,13.00,4.0:0.0 4.0:1.0 4.0:2.0 5.0:2.0 6.0:2.0 6.0:3.0 7.0:3.0 8.0:3.0 8.0:4.0 8.0:5.0 8.0:6.0 8.0:7.0 8.0:8.0 8.0:9.0
7,1,13.00,4.0:0.0 3.0:0.0 2.0:0.0 1.0:0.0 1.0:1.0 1.0:2.0 1.0:3.0 1.0:4.0 1.0:5.0 1.0:6.0 1.0:7.0 2.0:7.0 3.0:7.0 4.0:7.0
8,1,9.00,4.0:0.0 4.0:1.0 4.0:2.0 4.0:3.0 5.0:3.0 5.0:4.0 5.0:5.0 5.0:6.0 5.0:7.0 6.0:7.0
9,1,13.00,4.0:0.0 5.0:0.0 6.0:0.0 7.0:0.0 8.0:0.0 8.0:1.0 9.0:1.0 9.0:2.0 9.0:3.0 9.0:4.0 9.0:5.0 9.0:6.0 9.0:7.0 10.0:7.0
10,1,7.00,47.0:0.0 47.0:1.0 47.0:2.0 47.0:3.0 47.0:4.0 47.0:5.0 47.0:6.0 47.0:7.0
11,1,11.00,47.0:0.0 46.0:0.0 45.0:0.0 45.0:1.0 45.0:2.0 44.0:2.0 44.0:3.0 44.0:4.0 44.0:5.0 44.0:6.0 44.0:7.0 45.0:7.0
12,1,11.00,47.0:0.0 47.0:1.0 47.0:2.0 48.0:2.0 48.0:3.0 48.0:4.0 48.0:5.0 48.0:6.0 48.0:7.0 48.0:8.0 48.0:9.0 47.0:9.0
13,1,11.00,47.0:0.0 47.0:1.0 46.0:1.0 46.0:2.0 46.0:3.0 46.0:4.0 46.0:5.0 46.0:6.0 46.0:7.0 47.0:7.0 48.0:7.0 49.0:7.0
14,1,11.00,47.0:0.0 46.0:0.0 46.0:1.0 45.0:1.0 45.0:2.0 45.0:3.0 45.0:4.0 45.0:5.0 45.0:6.0 45.0:7.0 45.0:8.0 45.0:9.0
15,1,11.00,47.0:0.0 48.0:0.0 48.0:1.0 49.0:1.0 49.0:2.0 49.0:3.0 49.0:4.0 49.0:5.0 49.0:6.0 49.0:7.0 49.0:8.0 49.0:9.0
16,1,11.00,47.0:0.0 46.0:0.0 45.0:0.0 44.0:0.0 44.0:1.0 43.0:1.0 43.0:2.0 43.0:3.0 43.0:4.0 43.0:5.0 43.0:6.0 43.0:7.0
17,1,11.00,47.0:0.0 47.0:1.0 47.0:2.0 47.0:3.0 47.0:4.0 47.0:5.0 47.0:6.0 47.0:7.0 47.0:8.0 47.0:9.0 47.0:10.0 47.0:11.0
18,1,11.00,47.0:0.0 48.0:0.0 49.0:0.0 50.0:0.0 50.0:1.0 51.0:1.0 51.0:2.0 51.0:3.0 51.0:4.0 51.0:5.0 51.0:6.0 51.0:7.0
19,1,10.00,100.0:0.0 99.0:0.0 99.0:1.0 99.0:2.0 99.0:3.0 99.0:4.0 99.0:5.0 99.0:6.0 99.0:7.0 99.0:8.0 99.0:9.0
