pin_id,x_mm,y_mm
1,4,7
2,4,9
3,6,7
4,6,9
5,4,11
6,8,7
7,6,11
8,8,9
9,4,13
10,8,11
11,6,13
12,10,7
13,10,9
14,4,15
15,8,13
16,6,15
17,10,11
18,12,7
19,4,17
20,8,15
21,10,13
22,12,9
23,6,17
24,12,11
25,10,15
26,8,17
27,4,19
28,12,13
29,14,7
30,14,9
31,6,19
32,16,9
33,16,7
34,119,7
35,117,7
36,132,7
37,132,9
38,130,7
39,130,9
40,132,11
41,130,11
42,128,7
43,128,9
44,132,13
45,130,13
46,128,11
47,126,7
48,132,15
49,126,9
50,128,13
51,130,15
52,126,11
53,132,17
54,128,15
55,124,7
56,126,13
57,124,9
58,130,17
59,124,11
60,126,15
61,132,19
62,128,17
63,124,13
64,122,7
65,130,19
66,122,9
67,120,11
68,122,11
69,120,9
