pin_id,success,length_mm,path
1,1,7.00,4.0:0.0 4.0:1.0 4.0:2.0 4.0:3.0 4.0:4.0 4.0:5.0 4.0:6.0 4.0:7.0
2,1,9.00,4.0:0.0 4.0:1.0 5.0:1.0 6.0:1.0 6.0:2.0 6.0:3.0 6.0:4.0 6.0:5.0 6.0:6.0 6.0:7.0
3,1,7.00,9.0:0.0 9.0:1.0 9.0:2.0 9.0:3.0 9.0:4.0 9.0:5.0 9.0:6.0 9.0:7.0
4,1,9.00,9.0:0.0 9.0:1.0 10.0:1.0 11.0:1.0 11.0:2.0 11.0:3.0 11.0:4.0 11.0:5.0 11.0:6.0 11.0:7.0
5,1,7.00,13.0:0.0 13.0:1.0 13.0:2.0 13.0:3.0 13.0:4.0 13.0:5.0 13.0:6.0 13.0:7.0
6,1,9.00,13.0:0.0 13.0:1.0 14.0:1.0 15.0:1.0 15.0:2.0 15.0:3.0 15.0:4.0 15.0:5.0 15.0:6.0 15.0:7.0
7,1,9.00,18.0:0.0 17.0:0.0 17.0:1.0 17.0:2.0 17.0:3.0 17.0:4.0 17.0:5.0 17.0:6.0 17.0:7.0 18.0:7.0
8,1,9.00,18.0:0.0 18.0:1.0 18.0:2.0 18.0:3.0 18.0:4.0 18.0:5.0 18.0:6.0 18.0:7.0 18.0:8.0 18.0:9.0
9,1,7.00,23.0:0.0 23.0:1.0 23.0:2.0 23.0:3.0 23.0:4.0 23.0:5.0 23.0:6.0 23.0:7.0
10,1,9.00,23.0:0.0 23.0:1.0 22.0:1.0 21.0:1.0 21.0:2.0 21.0:3.0 21.0:4.0 21.0:5.0 21.0:6.0 21.0:7.0
11,1,9.00,27.0:0.0 27.0:1.0 28.0:1.0 29.0:1.0 29.0:2.0 29.0:3.0 29.0:4.0 29.0:5.0 29.0:6.0 29.0:7.0
12,1,7.00,27.0:0.0 27.0:1.0 27.0:2.0 27.0:3.0 27.0:4.0 27.0:5.0 27.0:6.0 27.0:7.0
13,1,9.00,32.0:0.0 32.0:1.0 33.0:1.0 34.0:1.0 34.0:2.0 34.0:3.0 34.0:4.0 34.0:5.0 34.0:6.0 34.0:7.0
14,1,7.00,32.0:0.0 32.0:1.0 32.0:2.0 32.0:3.0 32.0:4.0 32.0:5.0 32.0:6.0 32.0:7.0
15,1,7.00,36.0:0.0 36.0:1.0 36.0:2.0 36.0:3.0 36.0:4.0 36.0:5.0 36.0:6.0 36.0:7.0
16,1,9.00,36.0:0.0 36.0:1.0 37.0:1.0 38.0:1.0 38.0:2.0 38.0:3.0 38.0:4.0 38.0:5.0 38.0:6.0 38.0:7.0
