pin_id,x_mm,y_mm
1,4,9
2,4,7
3,6,7
4,6,9
5,4,11
6,8,7
7,6,11
8,8,9
9,10,7
10,4,13
11,8,11
12,10,9
13,6,13
14,12,7
15,10,11
16,8,13
17,12,9
18,4,15
19,14,7
20,6,15
21,10,13
22,12,11
23,14,9
24,8,15
25,16,7
26,12,13
27,4,17
28,14,11
29,10,15
30,6,17
31,16,9
32,8,17
33,18,7
34,16,11
35,20,7
36,132,7
37,130,7
38,132,9
39,130,9
40,128,7
41,132,11
42,128,9
43,126,7
44,130,11
45,126,9
46,128,11
47,124,7
48,132,13
49,130,13
50,124,9
51,126,11
52,122,7
53,128,13
54,124,11
55,132,15
56,122,9
57,126,13
58,130,15
59,120,7
60,128,15
61,122,11
62,124,13
63,120,9
64,118,7
65,132,17
66,126,15
67,130,17
68,120,11
