pin_id,x_mm,y_mm
1,4,7
2,6,7
3,4,9
4,6,9
5,8,7
6,4,11
7,8,9
8,6,11
9,10,7
10,8,11
11,10,9
12,4,13
13,6,13
14,10,11
15,8,13
16,12,7
17,12,9
18,4,15
19,6,15
20,10,13
21,12,11
22,8,15
23,14,7
24,14,9
25,12,13
26,10,15
27,4,17
28,6,17
29,14,11
30,8,17
31,16,7
32,18,7
33,16,9
34,60,7
35,62,7
36,67,7
37,65,7
38,67,9
39,65,9
40,63,9
41,67,11
42,65,11
43,63,11
44,61,9
45,67,13
46,65,13
47,61,11
48,63,13
49,59,9
50,58,7
51,67,15
52,61,13
53,65,15
54,59,11
55,63,15
56,57,9
57,59,13
58,56,7
59,61,15
60,57,11
61,67,17
62,65,17
63,63,17
64,55,9
65,59,15
66,57,13
67,54,7
68,61,17
69,55,11
