case,repo,license,eda_file,gerber_dir,footprint,pins,method,coverage_percent,routability_percent,area_ratio_percent,total_wire_mm,violations,congestion_peak,congested_cells,runtime_ms,gerber_files,drill_files,drill_hits,kicad_export_status,parse_overlay_png,comparison_png
eda_pcie_test_dual_ww37,mengstr/PCIeTestPCB,CC0-1.0,data/kicad_public/PCIeTestPCB/PCIeTest.kicad_pcb,,matseng:PAD64-1.5_1.0,64,baseline_rule,98.44,98.44,73.91,1115.00,1,2,11,1.45,0,0,0,kicad_cli,results/eda_cases/eda_case_01_pcie_test_dual_ww37/eda_parse_overlay.png,results/eda_cases/eda_case_01_pcie_test_dual_ww37/eda_comparison_original_parse_algorithm.png
eda_pcie_test_dual_ww37,mengstr/PCIeTestPCB,CC0-1.0,data/kicad_public/PCIeTestPCB/PCIeTest.kicad_pcb,,matseng:PAD64-1.5_1.0,64,kmeans_tabu_astar,100.00,100.00,11.37,457.00,0,1,0,7.78,0,0,0,kicad_cli,results/eda_cases/eda_case_01_pcie_test_dual_ww37/eda_parse_overlay.png,results/eda_cases/eda_case_01_pcie_test_dual_ww37/eda_comparison_original_parse_algorithm.png
eda_pcie_test_dual_ww37,mengstr/PCIeTestPCB,CC0-1.0,data/kicad_public/PCIeTestPCB/PCIeTest.kicad_pcb,,matseng:PAD64-1.5_1.0,64,pso_hanan_tabu_astar,100.00,100.00,11.37,457.00,0,1,0,587.15,0,0,0,kicad_cli,results/eda_cases/eda_case_01_pcie_test_dual_ww37/eda_parse_overlay.png,results/eda_cases/eda_case_01_pcie_test_dual_ww37/eda_comparison_original_parse_algorithm.png
eda_pcie_test_dual_ww37,mengstr/PCIeTestPCB,CC0-1.0,data/kicad_public/PCIeTestPCB/PCIeTest.kicad_pcb,,matseng:PAD64-1.5_1.0,64,pso_congestion_reroute_astar,100.00,100.00,11.37,457.00,0,1,0,587.48,0,0,0,kicad_cli,results/eda_cases/eda_case_01_pcie_test_dual_ww37/eda_parse_overlay.png,results/eda_cases/eda_case_01_pcie_test_dual_ww37/eda_comparison_original_parse_algorithm.png
eda_pi5_pcie_breakout,m1geo/Pi5_PCIe,MIT,data/kicad_public/Pi5_PCIe/Pi5_PCIe.kicad_pcb,,10018783-11200TLF:AMPHENOL_10018783-11200TLF,36,baseline_rule,100.00,100.00,74.40,648.00,0,9,106,0.29,0,0,0,kicad_cli,results/eda_cases/eda_case_02_pi5_pcie_breakout/eda_parse_overlay.png,results/eda_cases/eda_case_02_pi5_pcie_breakout/eda_comparison_original_parse_algorithm.png
eda_pi5_pcie_breakout,m1geo/Pi5_PCIe,MIT,data/kicad_public/Pi5_PCIe/Pi5_PCIe.kicad_pcb,,10018783-11200TLF:AMPHENOL_10018783-11200TLF,36,kmeans_tabu_astar,100.00,100.00,23.01,387.00,0,9,72,2.71,0,0,0,kicad_cli,results/eda_cases/eda_case_02_pi5_pcie_breakout/eda_parse_overlay.png,results/eda_cases/eda_case_02_pi5_pcie_breakout/eda_comparison_original_parse_algorithm.png
eda_pi5_pcie_breakout,m1geo/Pi5_PCIe,MIT,data/kicad_public/Pi5_PCIe/Pi5_PCIe.kicad_pcb,,10018783-11200TLF:AMPHENOL_10018783-11200TLF,36,pso_hanan_tabu_astar,100.00,100.00,22.85,379.00,0,9,81,186.71,0,0,0,kicad_cli,results/eda_cases/eda_case_02_pi5_pcie_breakout/eda_parse_overlay.png,results/eda_cases/eda_case_02_pi5_pcie_breakout/eda_comparison_original_parse_algorithm.png
eda_pi5_pcie_breakout,m1geo/Pi5_PCIe,MIT,data/kicad_public/Pi5_PCIe/Pi5_PCIe.kicad_pcb,,10018783-11200TLF:AMPHENOL_10018783-11200TLF,36,pso_congestion_reroute_astar,100.00,100.00,22.85,413.00,0,9,71,187.43,0,0,0,kicad_cli,results/eda_cases/eda_case_02_pi5_pcie_breakout/eda_parse_overlay.png,results/eda_cases/eda_case_02_pi5_pcie_breakout/eda_comparison_original_parse_algorithm.png
eda_pi5_m2_hat,m1geo/Pi5_PCIe,MIT,data/kicad_public/Pi5_PCIe/Pi5_M2_Hat.kicad_pcb,,ngff:AMPHENOL_MDT420M03001,69,baseline_rule,37.68,37.68,72.02,484.00,43,12,82,0.23,0,0,0,kicad_cli,results/eda_cases/eda_case_03_pi5_m2_hat/eda_parse_overlay.png,results/eda_cases/eda_case_03_pi5_m2_hat/eda_comparison_original_parse_algorithm.png
eda_pi5_m2_hat,m1geo/Pi5_PCIe,MIT,data/kicad_public/Pi5_PCIe/Pi5_M2_Hat.kicad_pcb,,ngff:AMPHENOL_MDT420M03001,69,kmeans_tabu_astar,100.00,100.00,49.71,1120.00,0,34,174,10.82,0,0,0,kicad_cli,results/eda_cases/eda_case_03_pi5_m2_hat/eda_parse_overlay.png,results/eda_cases/eda_case_03_pi5_m2_hat/eda_comparison_original_parse_algorithm.png
