pin_id,success,length_mm,path
1,1,7.00,33.0:0.0 33.0:1.0 33.0:2.0 33.0:3.0 33.0:4.0 33.0:5.0 33.0:6.0 33.0:7.0
2,1,7.00,35.0:0.0 35.0:1.0 35.0:2.0 35.0:3.0 35.0:4.0 35.0:5.0 35.0:6.0 35.0:7.0
3,1,7.00,37.0:0.0 37.0:1.0 37.0:2.0 37.0:3.0 37.0:4.0 37.0:5.0 37.0:6.0 37.0:7.0
4,1,7.00,39.0:0.0 39.0:1.0 39.0:2.0 39.0:3.0 39.0:4.0 39.0:5.0 39.0:6.0 39.0:7.0
5,1,7.00,41.0:0.0 41.0:1.0 41.0:2.0 41.0:3.0 41.0:4.0 41.0:5.0 41.0:6.0 41.0:7.0
6,1,7.00,43.0:0.0 43.0:1.0 43.0:2.0 43.0:3.0 43.0:4.0 43.0:5.0 43.0:6.0 43.0:7.0
7,1,7.00,45.0:0.0 45.0:1.0 45.0:2.0 45.0:3.0 45.0:4.0 45.0:5.0 45.0:6.0 45.0:7.0
8,1,7.00,47.0:0.0 47.0:1.0 47.0:2.0 47.0:3.0 47.0:4.0 47.0:5.0 47.0:6.0 47.0:7.0
9,1,7.00,49.0:0.0 49.0:1.0 49.0:2.0 49.0:3.0 49.0:4.0 49.0:5.0 49.0:6.0 49.0:7.0
10,1,7.00,51.0:0.0 51.0:1.0 51.0:2.0 51.0:3.0 51.0:4.0 51.0:5.0 51.0:6.0 51.0:7.0
11,1,7.00,53.0:0.0 53.0:1.0 53.0:2.0 53.0:3.0 53.0:4.0 53.0:5.0 53.0:6.0 53.0:7.0
12,1,7.00,55.0:0.0 55.0:1.0 55.0:2.0 55.0:3.0 55.0:4.0 55.0:5.0 55.0:6.0 55.0:7.0
13,1,7.00,57.0:0.0 57.0:1.0 57.0:2.0 57.0:3.0 57.0:4.0 57.0:5.0 57.0:6.0 57.0:7.0
14,1,7.00,59.0:0.0 59.0:1.0 59.0:2.0 59.0:3.0 59.0:4.0 59.0:5.0 59.0:6.0 59.0:7.0
15,1,7.00,61.0:0.0 61.0:1.0 61.0:2.0 61.0:3.0 61.0:4.0 61.0:5.0 61.0:6.0 61.0:7.0
16,1,7.00,63.0:0.0 63.0:1.0 63.0:2.0 63.0:3.0 63.0:4.0 63.0:5.0 63.0:6.0 63.0:7.0
17,1,7.00,65.0:0.0 65.0:1.0 65.0:2.0 65.0:3.0 65.0:4.0 65.0:5.0 65.0:6.0 65.0:7.0
18,1,7.00,67.0:0.0 67.0:1.0 67.0:2.0 67.0:3.0 67.0:4.0 67.0:5.0 67.0:6.0 67.0:7.0
19,1,7.00,69.0:0.0 69.0:1.0 69.0:2.0 69.0:3.0 69.0:4.0 69.0:5.0 69.0:6.0 69.0:7.0
20,1,7.00,71.0:0.0 71.0:1.0 71.0:2.0 71.0:3.0 71.0:4.0 71.0:5.0 71.0:6.0 71.0:7.0
21,1,7.00,73.0:0.0 73.0:1.0 73.0:2.0 73.0:3.0 73.0:4.0 73.0:5.0 73.0:6.0 73.0:7.0
22,1,7.00,75.0:0.0 75.0:1.0 75.0:2.0 75.0:3.0 75.0:4.0 75.0:5.0 75.0:6.0 75.0:7.0
23,1,7.00,77.0:0.0 77.0:1.0 77.0:2.0 77.0:3.0 77.0:4.0 77.0:5.0 77.0:6.0 77.0:7.0
24,1,7.00,79.0:0.0 79.0:1.0 79.0:2.0 79.0:3.0 79.0:4.0 79.0:5.0 79.0:6.0 79.0:7.0
25,1,7.00,81.0:0.0 81.0:1.0 81.0:2.0 81.0:3.0 81.0:4.0 81.0:5.0 81.0:6.0 81.0:7.0
26,1,7.00,83.0:0.0 83.0:1.0 83.0:2.0 83.0:3.0 83.0:4.0 83.0:5.0 83.0:6.0 83.0:7.0
27,1,7.00,85.0:0.0 85.0:1.0 85.0:2.0 85.0:3.0 85.0:4.0 85.0:5.0 85.0:6.0 85.0:7.0
28,1,7.00,87.0:0.0 87.0:1.0 87.0:2.0 87.0:3.0 87.0:4.0 87.0:5.0 87.0:6.0 87.0:7.0
29,1,7.00,89.0:0.0 89.0:1.0 89.0:2.0 89.0:3.0 89.0:4.0 89.0:5.0 89.0:6.0 89.0:7.0
30,1,7.00,91.0:0.0 91.0:1.0 91.0:2.0 91.0:3.0 91.0:4.0 91.0:5.0 91.0:6.0 91.0:7.0
31,1,7.00,93.0:0.0 93.0:1.0 93.0:2.0 93.0:3.0 93.0:4.0 93.0:5.0 93.0:6.0 93.0:7.0
32,1,7.00,95.0:0.0 95.0:1.0 95.0:2.0 95.0:3.0 95.0:4.0 95.0:5.0 95.0:6.0 95.0:7.0
33,1,7.00,97.0:0.0 97.0:1.0 97.0:2.0 97.0:3.0 97.0:4.0 97.0:5.0 97.0:6.0 97.0:7.0
34,1,7.00,99.0:0.0 99.0:1.0 99.0:2.0 99.0:3.0 99.0:4.0 99.0:5.0 99.0:6.0 99.0:7.0
35,1,7.00,101.0:0.0 101.0:1.0 101.0:2.0 101.0:3.0 101.0:4.0 101.0:5.0 101.0:6.0 101.0:7.0
36,1,7.00,103.0:0.0 103.0:1.0 103.0:2.0 103.0:3.0 103.0:4.0 103.0:5.0 103.0:6.0 103.0:7.0
