pin_id,x_mm,y_mm
1,3,7
2,3,9
3,3,11
4,3,13
5,3,15
6,5,7
7,5,9
8,5,11
9,5,13
10,7,7
11,7,9
12,9,9
13,9,7
14,11,7
15,13,7
16,15,7
17,17,7
18,20,7
19,22,7
20,25,7
21,27,7
22,30,7
23,32,7
24,35,7
25,37,7
26,40,7
27,42,7
28,45,7
29,47,7
30,50,7
31,53,7
32,55,7
33,58,7
34,60,7
35,63,7
36,65,7
37,68,7
38,71,7
39,73,7
40,75,7
41,77,7
42,81,16
43,83,16
44,86,16
45,88,16
46,91,16
47,93,16
48,97,7
49,99,7
50,101,7
51,104,7
52,106,7
53,109,7
54,111,7
55,114,7
56,116,7
57,118,7
58,120,9
59,118,9
60,120,11
61,120,7
62,122,14
63,122,9
64,120,14
65,122,7
66,121,16
67,118,12
68,122,12
69,120,18
