pin_id,success,length_mm,path
1,0,0.00,
2,0,0.00,
3,0,0.00,
4,0,0.00,
5,0,0.00,
6,0,0.00,
7,0,0.00,
8,0,0.00,
9,0,0.00,
10,1,15.00,-1.0:0.0 0.0:0.0 0.0:1.0 1.0:1.0 1.0:2.0 2.0:2.0 2.0:3.0 2.0:4.0 2.0:5.0 3.0:5.0 4.0:5.0 5.0:5.0 6.0:5.0 7.0:5.0 7.0:6.0 7.0:7.0
11,1,14.00,2.0:0.0 2.0:1.0 3.0:1.0 3.0:2.0 3.0:3.0 3.0:4.0 3.0:5.0 3.0:6.0 4.0:6.0 5.0:6.0 6.0:6.0 6.0:7.0 7.0:7.0 7.0:8.0 7.0:9.0
12,1,13.00,5.0:0.0 5.0:1.0 6.0:1.0 7.0:1.0 7.0:2.0 8.0:2.0 9.0:2.0 9.0:3.0 9.0:4.0 9.0:5.0 9.0:6.0 9.0:7.0 9.0:8.0 9.0:9.0
13,1,9.00,7.0:0.0 8.0:0.0 8.0:1.0 8.0:2.0 8.0:3.0 8.0:4.0 8.0:5.0 8.0:6.0 8.0:7.0 9.0:7.0
14,1,8.00,10.0:0.0 10.0:1.0 11.0:1.0 11.0:2.0 11.0:3.0 11.0:4.0 11.0:5.0 11.0:6.0 11.0:7.0
15,1,8.00,12.0:0.0 12.0:1.0 13.0:1.0 13.0:2.0 13.0:3.0 13.0:4.0 13.0:5.0 13.0:6.0 13.0:7.0
16,1,7.00,15.0:0.0 15.0:1.0 15.0:2.0 15.0:3.0 15.0:4.0 15.0:5.0 15.0:6.0 15.0:7.0
17,1,7.00,17.0:0.0 17.0:1.0 17.0:2.0 17.0:3.0 17.0:4.0 17.0:5.0 17.0:6.0 17.0:7.0
18,1,7.00,20.0:0.0 20.0:1.0 20.0:2.0 20.0:3.0 20.0:4.0 20.0:5.0 20.0:6.0 20.0:7.0
19,1,7.00,22.0:0.0 22.0:1.0 22.0:2.0 22.0:3.0 22.0:4.0 22.0:5.0 22.0:6.0 22.0:7.0
