case,repo,footprint,method,pin_count,coverage_percent,routability_percent,area_ratio_percent,total_wire_mm,violations,congestion_peak,congested_cells,runtime_ms,kicad_export_status,original_pcb_png,comparison_png
kicad_pcie_test_dual_ww37,mengstr/PCIeTestPCB,matseng:PAD64-1.5_1.0,baseline_rule,64,82.81,82.81,51.50,1107.00,11,6,75,1.22,kicad_cli,results/kicad_cases/kicad_case_01_pcie_test_dual_ww37/original_kicad_pcb.png,results/kicad_cases/kicad_case_01_pcie_test_dual_ww37/comparison_original_baseline_algorithm.png
kicad_pcie_test_dual_ww37,mengstr/PCIeTestPCB,matseng:PAD64-1.5_1.0,kmeans_tabu_astar,64,100.00,100.00,30.16,772.00,0,7,152,5.95,kicad_cli,results/kicad_cases/kicad_case_01_pcie_test_dual_ww37/original_kicad_pcb.png,results/kicad_cases/kicad_case_01_pcie_test_dual_ww37/comparison_original_baseline_algorithm.png
kicad_pcie_test_dual_ww37,mengstr/PCIeTestPCB,matseng:PAD64-1.5_1.0,pso_hanan_tabu_astar,64,100.00,100.00,30.16,715.00,0,8,85,503.52,kicad_cli,results/kicad_cases/kicad_case_01_pcie_test_dual_ww37/original_kicad_pcb.png,results/kicad_cases/kicad_case_01_pcie_test_dual_ww37/comparison_original_baseline_algorithm.png
kicad_pcie_test_dual_ww37,mengstr/PCIeTestPCB,matseng:PAD64-1.5_1.0,pso_congestion_reroute_astar,64,100.00,100.00,30.16,803.00,0,3,94,505.74,kicad_cli,results/kicad_cases/kicad_case_01_pcie_test_dual_ww37/original_kicad_pcb.png,results/kicad_cases/kicad_case_01_pcie_test_dual_ww37/comparison_original_baseline_algorithm.png
kicad_pi5_pcie_breakout,m1geo/Pi5_PCIe,10018783-11200TLF:AMPHENOL_10018783-11200TLF,baseline_rule,36,91.67,91.67,40.83,641.00,3,4,54,0.75,kicad_cli,results/kicad_cases/kicad_case_02_pi5_pcie_breakout/original_kicad_pcb.png,results/kicad_cases/kicad_case_02_pi5_pcie_breakout/comparison_original_baseline_algorithm.png
kicad_pi5_pcie_breakout,m1geo/Pi5_PCIe,10018783-11200TLF:AMPHENOL_10018783-11200TLF,kmeans_tabu_astar,36,100.00,100.00,6.80,252.00,0,1,0,1.82,kicad_cli,results/kicad_cases/kicad_case_02_pi5_pcie_breakout/original_kicad_pcb.png,results/kicad_cases/kicad_case_02_pi5_pcie_breakout/comparison_original_baseline_algorithm.png
kicad_pi5_pcie_breakout,m1geo/Pi5_PCIe,10018783-11200TLF:AMPHENOL_10018783-11200TLF,pso_hanan_tabu_astar,36,100.00,100.00,6.80,252.00,0,1,0,147.93,kicad_cli,results/kicad_cases/kicad_case_02_pi5_pcie_breakout/original_kicad_pcb.png,results/kicad_cases/kicad_case_02_pi5_pcie_breakout/comparison_original_baseline_algorithm.png
kicad_pi5_pcie_breakout,m1geo/Pi5_PCIe,10018783-11200TLF:AMPHENOL_10018783-11200TLF,pso_congestion_reroute_astar,36,100.00,100.00,6.80,252.00,0,1,0,148.07,kicad_cli,results/kicad_cases/kicad_case_02_pi5_pcie_breakout/original_kicad_pcb.png,results/kicad_cases/kicad_case_02_pi5_pcie_breakout/comparison_original_baseline_algorithm.png
kicad_pi5_m2_hat,m1geo/Pi5_PCIe,ngff:AMPHENOL_MDT420M03001,baseline_rule,69,88.41,62.32,75.66,902.00,26,4,45,0.62,kicad_cli,results/kicad_cases/kicad_case_03_pi5_m2_hat/original_kicad_pcb.png,results/kicad_cases/kicad_case_03_pi5_m2_hat/comparison_original_baseline_algorithm.png
kicad_pi5_m2_hat,m1geo/Pi5_PCIe,ngff:AMPHENOL_MDT420M03001,kmeans_tabu_astar,69,100.00,73.91,40.23,541.00,18,4,52,7.26,kicad_cli,results/kicad_cases/kicad_case_03_pi5_m2_hat/original_kicad_pcb.png,results/kicad_cases/kicad_case_03_pi5_m2_hat/comparison_original_baseline_algorithm.png
kicad_pi5_m2_hat,m1geo/Pi5_PCIe,ngff:AMPHENOL_MDT420M03001,pso_hanan_tabu_astar,69,100.00,73.91,40.23,541.00,18,4,52,554.42,kicad_cli,results/kicad_cases/kicad_case_03_pi5_m2_hat/original_kicad_pcb.png,results/kicad_cases/kicad_case_03_pi5_m2_hat/comparison_original_baseline_algorithm.png
kicad_pi5_m2_hat,m1geo/Pi5_PCIe,ngff:AMPHENOL_MDT420M03001,pso_congestion_reroute_astar,69,100.00,73.91,40.23,577.00,18,2,23,555.57,kicad_cli,results/kicad_cases/kicad_case_03_pi5_m2_hat/original_kicad_pcb.png,results/kicad_cases/kicad_case_03_pi5_m2_hat/comparison_original_baseline_algorithm.png
kicad_pcie_aux_signal_breakout,Supercookiegaming/PCIe-Aux-Signal-Breakout,PCIexpress:PCIexpress_x1,baseline_rule,36,80.56,80.56,32.94,579.00,7,4,49,0.62,kicad_cli,results/kicad_cases/kicad_case_04_pcie_aux_signal_breakout/original_kicad_pcb.png,results/kicad_cases/kicad_case_04_pcie_aux_signal_breakout/comparison_original_baseline_algorithm.png
kicad_pcie_aux_signal_breakout,Supercookiegaming/PCIe-Aux-Signal-Breakout,PCIexpress:PCIexpress_x1,kmeans_tabu_astar,36,100.00,100.00,21.68,409.00,0,4,96,1.53,kicad_cli,results/kicad_cases/kicad_case_04_pcie_aux_signal_breakout/original_kicad_pcb.png,results/kicad_cases/kicad_case_04_pcie_aux_signal_breakout/comparison_original_baseline_algorithm.png
kicad_pcie_aux_signal_breakout,Supercookiegaming/PCIe-Aux-Signal-Breakout,PCIexpress:PCIexpress_x1,pso_hanan_tabu_astar,36,100.00,100.00,12.39,383.00,0,5,85,93.23,kicad_cli,results/kicad_cases/kicad_case_04_pcie_aux_signal_breakout/original_kicad_pcb.png,results/kicad_cases/kicad_case_04_pcie_aux_signal_breakout/comparison_original_baseline_algorithm.png
kicad_pcie_aux_signal_breakout,Supercookiegaming/PCIe-Aux-Signal-Breakout,PCIexpress:PCIexpress_x1,pso_congestion_reroute_astar,36,100.00,100.00,12.39,393.00,0,3,70,93.91,kicad_cli,results/kicad_cases/kicad_case_04_pcie_aux_signal_breakout/original_kicad_pcb.png,results/kicad_cases/kicad_case_04_pcie_aux_signal_breakout/comparison_original_baseline_algorithm.png
